Destination.City,Orgin.City,Satisfaction,Airline.Status,Age,Gender,Price.Sensitivity,Year.of.First.Flight,No.of.Flights.p.a.,X..of.Flight.with.other.Airlines,Type.of.Travel,No..of.other.Loyalty.Cards,Shopping.Amount.at.Airport,Eating.and.Drinking.at.Airport,Class,Day.of.Month,Flight.date,Airline.Code,Airline.Name,Origin.State,Destination.State,Scheduled.Departure.Hour,Departure.Delay.in.Minutes,Arrival.Delay.in.Minutes,Flight.cancelled,Flight.time.in.minutes,Flight.Distance,Arrival.Delay.greater.5.Mins,olong,olat,dlong,dlat
"Atlanta, GA","Akron, OH",2,Blue,80,Female,1,2008,36,4,Personal Travel,0,15,105,Eco,10,3/10/14,FL,FlyHere Airways,Ohio,Georgia,18,0,0,No,71,528,no,-81.491897,41.066225,-84.331858,33.824102
"Los Angeles, CA","Atlanta, GA",4,Blue,54,Female,2,2003,22,8,Business travel,0,0,60,Eco Plus,5,2/5/14,WN,Cheapseats Airlines Inc.,Georgia,California,9,0,0,No,288,1947,no,-84.331858,33.824102,-118.104332,33.982668
"Chicago, IL","Lincoln, NE",3,Blue,17,Male,1,2010,18,10,Mileage tickets,1,0,30,Eco,14,3/14/14,OO,Northwest Business Airlines Inc.,Nebraska,Illinois,18,11,19,No,66,466,yes,-96.680368,40.807124,-87.895427,41.827126
"Aspen, CO","Minneapolis, MN",3,Blue,35,Male,2,2005,48,21,Mileage tickets,1,0,20,Eco,4,1/4/14,OO,Northwest Business Airlines Inc.,Minnesota,Colorado,11,48,50,No,139,802,yes,-93.2798,44.978156,-106.840283,39.199278
"Atlanta, GA","Harrisburg, PA",2,Blue,53,Male,1,2009,26,8,Personal Travel,0,281,55,Eco,3,3/3/14,DL,Sigma Airlines Inc.,Pennsylvania,Georgia,6,6,32,No,101,620,yes,-76.86615,40.245625,-84.331858,33.824102
"San Francisco, CA","Washington, DC",5,Silver,52,Male,0,2011,41,7,Mileage tickets,0,105,75,Eco,24,3/24/14,OU,Oursin Airlines Inc.,Virginia,California,18,77,65,No,331,2419,yes,-77.18974,38.897394,-122.383287,37.754645
"San Francisco, CA","Seattle, WA",3,Blue,33,Female,1,2006,23,18,Personal Travel,3,0,30,Eco,5,1/5/14,VX,Cool&Young Airlines Inc.,Washington,California,9,0,0,No,99,679,no,-122.274661,47.468409,-122.383287,37.754645
"Chicago, IL","New York, NY",3,Gold,80,Female,1,2006,63,6,Personal Travel,0,0,25,Eco,16,2/16/14,OU,Oursin Airlines Inc.,New York,Illinois,16,0,0,No,123,733,no,-73.970221,40.718357,-87.895427,41.827126
"Austin, TX","Houston, TX",4,Blue,23,Female,2,2007,0,19,Mileage tickets,1,0,0,Eco,3,1/3/14,EV,FlyFast Airways Inc.,Texas,Texas,9,0,0,No,30,140,no,-95.393531,29.784308,-97.761533,30.358514
"Sacramento, CA","Los Angeles, CA",5,Silver,53,Male,2,2010,30,2,Business travel,0,30,20,Eco,17,1/17/14,OO,Northwest Business Airlines Inc.,California,California,8,0,0,No,59,373,no,-118.104332,33.982668,-121.324669,38.638578
"San Francisco, CA","San Diego, CA",4,Blue,59,Female,1,2003,21,9,Business travel,0,18,65,Eco,18,3/18/14,WN,Cheapseats Airlines Inc.,California,California,12,1,0,No,68,447,no,-117.128799,32.928728,-122.383287,37.754645
"Milwaukee, WI","Phoenix, AZ",4,Silver,41,Female,1,2003,4,33,Business travel,2,0,105,Eco,24,3/24/14,WN,Cheapseats Airlines Inc.,Arizona,Wisconsin,8,36,37,No,173,1460,yes,-111.970041,33.494067,-88.100492,43.055654
"Tampa, FL","Chicago, IL",5,Blue,64,Female,1,2011,19,6,Business travel,0,5,0,Eco,30,3/30/14,WN,Cheapseats Airlines Inc.,Illinois,Florida,15,0,0,No,121,997,no,-87.895427,41.827126,-82.513188,28.006247
"Minneapolis, MN","Tampa, FL",3,Blue,63,Female,2,2010,19,6,Mileage tickets,0,25,248,Eco,19,3/19/14,DL,Sigma Airlines Inc.,Florida,Minnesota,18,9,0,No,173,1306,no,-82.513188,28.006247,-93.2798,44.978156
"Amarillo, TX","Dallas, TX",4,Silver,43,Female,1,2008,11,19,Business travel,2,10,50,Eco,11,2/11/14,WN,Cheapseats Airlines Inc.,Texas,Texas,7,0,4,No,53,323,no,-96.972001,32.812727,-101.849137,35.197528
"Sioux Falls, SD","Minneapolis, MN",4,Silver,31,Female,1,2005,8,12,Business travel,2,15,10,Eco,28,2/28/14,EV,FlyFast Airways Inc.,Minnesota,South Dakota,11,0,29,No,40,196,yes,-93.2798,44.978156,-96.735632,43.533494
"Philadelphia, PA","Orlando, FL",5,Platinum,66,Female,1,2010,11,4,Business travel,0,0,55,Eco,22,3/22/14,US,Southeast Airlines Co.,Florida,Pennsylvania,10,0,0,No,121,861,no,-81.411184,28.584434,-75.298163,39.973331
"San Jose, CA","Seattle, WA",2,Gold,46,Male,1,2008,5,15,Business travel,2,25,35,Eco,9,2/9/14,WN,Cheapseats Airlines Inc.,Washington,California,7,9,7,No,110,697,yes,-122.274661,47.468409,-121.945145,37.329845
"Boston, MA","San Francisco, CA",3,Blue,69,Female,1,2006,25,9,Personal Travel,0,65,130,Eco,14,1/14/14,OU,Oursin Airlines Inc.,California,Massachusetts,12,0,0,No,315,2704,no,-122.383287,37.754645,-71.140708,42.373132
"Los Angeles, CA","San Francisco, CA",4,Blue,55,Male,1,2008,3,3,Mileage tickets,0,0,50,Eco,7,2/7/14,VX,Cool&Young Airlines Inc.,California,California,13,15,41,No,51,337,yes,-122.383287,37.754645,-118.104332,33.982668
"Sacramento, CA","San Diego, CA",3,Blue,45,Male,2,2010,29,8,Business travel,0,0,60,Eco,21,2/21/14,WN,Cheapseats Airlines Inc.,California,California,11,0,0,No,70,480,no,-117.128799,32.928728,-121.324669,38.638578
"Tampa, FL","Akron, OH",4,Blue,28,Female,2,2010,9,12,Business travel,1,180,200,Eco,22,1/22/14,FL,FlyHere Airways,Ohio,Florida,15,1,0,No,121,894,no,-81.491897,41.066225,-82.513188,28.006247
"Miami, FL","Houston, TX",4,Gold,43,Male,1,2005,0,10,Business travel,0,0,0,Eco,26,1/26/14,AA,Paul Smith Airlines Inc.,Texas,Florida,6,0,0,No,112,964,no,-95.393531,29.784308,-80.231428,26.175616
"Boston, MA","Portland, OR",4,Blue,42,Male,1,2004,25,29,Business travel,2,0,15,Eco Plus,13,3/13/14,AS,FlyToSun Airlines Inc.,Oregon,Massachusetts,9,0,0,No,283,2537,no,-122.651087,45.520404,-71.140708,42.373132
"Gainesville, FL","Atlanta, GA",2,Blue,65,Male,2,2005,13,3,Personal Travel,0,180,60,Eco,10,3/10/14,EV,FlyFast Airways Inc.,Georgia,Florida,14,0,0,No,48,300,no,-84.331858,33.824102,-82.371036,29.656824
"Key West, FL","Miami, FL",4,Blue,15,Male,2,2005,47,8,Personal Travel,2,0,30,Eco,29,3/29/14,MQ,EnjoyFlying Air Services,Florida,Florida,9,0,0,No,30,125,no,-80.231428,26.175616,-81.751371,24.569654
"Kansas City, MO","Houston, TX",3,Blue,63,Female,2,2004,37,10,Personal Travel,1,0,60,Eco,2,3/2/14,OO,Northwest Business Airlines Inc.,Texas,Missouri,15,0,5,No,110,643,no,-95.393531,29.784308,-94.594897,39.039792
"Fayetteville, AR","Atlanta, GA",2,Blue,77,Female,1,2003,16,2,Personal Travel,0,0,111,Business,2,3/2/14,EV,FlyFast Airways Inc.,Georgia,Arkansas,19,0,0,No,92,589,no,-84.331858,33.824102,-94.179749,36.267419
"Seattle, WA","Spokane, WA",4,Gold,54,Male,1,2011,18,7,Mileage tickets,1,0,10,Eco,27,1/27/14,AS,FlyToSun Airlines Inc.,Washington,Washington,8,0,0,No,41,224,no,-117.352257,47.68043,-122.274661,47.468409
"Charlotte, NC","Philadelphia, PA",3,Blue,74,Male,2,2010,46,10,Business travel,0,0,50,Eco,3,2/3/14,US,Southeast Airlines Co.,Pennsylvania,North Carolina,8,2,68,No,84,449,yes,-75.298163,39.973331,-80.815826,35.249654
"Miami, FL","Jacksonville, FL",2,Blue,40,Female,1,2003,28,7,Personal Travel,2,90,30,Eco,31,1/31/14,MQ,EnjoyFlying Air Services,Florida,Florida,13,0,0,No,63,335,no,-81.64274,30.24014,-80.231428,26.175616
"Pensacola, FL","Atlanta, GA",5,Silver,60,Male,2,2003,39,8,Business travel,0,0,160,Eco,14,3/14/14,DL,Sigma Airlines Inc.,Georgia,Florida,11,0,0,No,49,271,no,-84.331858,33.824102,-87.253422,30.48527
"Orlando, FL","Cincinnati, OH",4,Blue,32,Male,2,2006,15,3,Business travel,2,10,95,Eco,3,1/3/14,DL,Sigma Airlines Inc.,Kentucky,Florida,11,0,0,No,108,757,no,-84.462043,39.185505,-81.411184,28.584434
"Philadelphia, PA","Orlando, FL",3,Blue,68,Female,1,2006,60,1,Personal Travel,0,0,25,Eco,10,3/10/14,US,Southeast Airlines Co.,Florida,Pennsylvania,7,0,0,No,115,861,no,-81.411184,28.584434,-75.298163,39.973331
"Chicago, IL","Springfield, IL",5,Gold,56,Male,1,2005,43,5,Business travel,0,0,105,Eco,7,3/7/14,OO,Northwest Business Airlines Inc.,Illinois,Illinois,12,0,0,No,36,174,no,-89.642412,39.786626,-87.895427,41.827126
"Cincinnati, OH","Houston, TX",2,Blue,85,Male,2,2012,42,9,Personal Travel,0,0,160,Eco,2,2/2/14,EV,FlyFast Airways Inc.,Texas,Kentucky,12,290,276,No,100,871,yes,-95.393531,29.784308,-84.462043,39.185505
"Boston, MA","Philadelphia, PA",4,Blue,53,Female,1,2007,26,9,Business travel,0,10,40,Eco,27,3/27/14,US,Southeast Airlines Co.,Pennsylvania,Massachusetts,20,0,0,No,50,280,no,-75.298163,39.973331,-71.140708,42.373132
"St. Louis, MO","Miami, FL",2,Blue,40,Female,1,2008,18,44,Personal Travel,2,30,24,Eco,9,2/9/14,AA,Paul Smith Airlines Inc.,Florida,Missouri,9,0,6,No,150,1068,yes,-80.231428,26.175616,-90.340926,38.630705
"Tampa, FL","Denver, CO",4,Blue,53,Female,1,2009,10,3,Mileage tickets,0,0,45,Eco,31,3/31/14,WN,Cheapseats Airlines Inc.,Colorado,Florida,16,0,0,No,172,1506,no,-104.955096,39.710774,-82.513188,28.006247
"Dallas, TX","Lubbock, TX",4,Silver,47,Female,1,2010,2,9,Mileage tickets,2,75,45,Eco,21,3/21/14,WN,Cheapseats Airlines Inc.,Texas,Texas,6,0,0,No,45,293,no,-101.893174,33.559247,-96.972001,32.812727
"Houston, TX","Chicago, IL",4,Blue,50,Male,1,2009,6,13,Business travel,2,0,70,Eco,6,3/6/14,MQ,EnjoyFlying Air Services,Illinois,Texas,15,11,0,No,121,925,no,-87.895427,41.827126,-95.393531,29.784308
"Chicago, IL","New Orleans, LA",4,Silver,33,Male,1,2005,28,34,Business travel,1,0,45,Eco,11,1/11/14,WN,Cheapseats Airlines Inc.,Louisiana,Illinois,9,0,0,No,106,825,no,-90.143683,29.954653,-87.895427,41.827126
"Detroit, MI","Charlotte, NC",3,Silver,43,Male,1,2010,0,2,Business travel,0,30,10,Eco,21,3/21/14,US,Southeast Airlines Co.,North Carolina,Michigan,16,0,2,No,95,500,no,-80.815826,35.249654,-83.227554,42.490005
"Fresno, CA","Las Vegas, NV",4,Blue,34,Female,1,2011,0,8,Business travel,0,2,40,Eco,25,3/25/14,OO,Northwest Business Airlines Inc.,Nevada,California,13,0,0,No,68,259,no,-115.167218,36.134893,-119.761114,36.787755
"Atlanta, GA","Detroit, MI",4,Blue,42,Male,2,2005,10,8,Business travel,2,90,45,Eco,26,1/26/14,FL,FlyHere Airways,Michigan,Georgia,6,1,0,No,83,594,no,-83.227554,42.490005,-84.331858,33.824102
"Charlotte, NC","Providence, RI",4,Blue,44,Male,1,2004,59,3,Business travel,0,0,20,Eco,18,2/18/14,US,Southeast Airlines Co.,Rhode Island,North Carolina,8,21,37,No,109,683,yes,-71.397401,41.776323,-80.815826,35.249654
"Denver, CO","San Antonio, TX",4,Blue,31,Female,1,2006,3,6,Business travel,2,50,80,Business,2,2/2/14,WN,Cheapseats Airlines Inc.,Texas,Colorado,11,0,0,No,106,794,no,-98.475376,29.514399,-104.955096,39.710774
"Phoenix, AZ","Denver, CO",3,Blue,66,Female,2,2008,36,15,Business travel,1,0,90,Eco,9,2/9/14,F9,GoingNorth Airlines Inc.,Colorado,Arizona,17,18,18,No,90,602,yes,-104.955096,39.710774,-111.970041,33.494067
"Philadelphia, PA","Denver, CO",3,Blue,39,Female,1,2007,12,24,Business travel,2,90,55,Eco,14,1/14/14,US,Southeast Airlines Co.,Colorado,Pennsylvania,11,0,4,No,183,1558,no,-104.955096,39.710774,-75.298163,39.973331
"Detroit, MI","Houston, TX",4,Silver,39,Male,1,2006,3,21,Business travel,1,0,50,Eco,7,2/7/14,EV,FlyFast Airways Inc.,Texas,Michigan,7,0,11,No,124,1075,yes,-95.393531,29.784308,-83.227554,42.490005
"Columbia, SC","Chicago, IL",4,Blue,35,Male,1,2005,13,11,Business travel,2,0,50,Eco,23,2/23/14,EV,FlyFast Airways Inc.,Illinois,South Carolina,16,0,0,No,83,667,no,-87.895427,41.827126,-81.077207,34.036236
"Seattle, WA","Salt Lake City, UT",3,Silver,70,Female,1,2003,13,8,Personal Travel,0,0,65,Eco,8,3/8/14,DL,Sigma Airlines Inc.,Utah,Washington,21,0,0,No,104,689,no,-111.929515,40.640838,-122.274661,47.468409
"Omaha, NE","Phoenix, AZ",4,Blue,54,Male,1,2010,2,3,Business travel,0,0,80,Business,25,3/25/14,OO,Northwest Business Airlines Inc.,Arizona,Nebraska,12,0,6,No,139,1037,yes,-111.970041,33.494067,-96.034641,41.234859
"Chicago, IL","Tucson, AZ",5,Blue,46,Female,1,2005,18,10,Business travel,2,65,125,Eco,30,3/30/14,WN,Cheapseats Airlines Inc.,Arizona,Illinois,12,0,0,No,179,1440,no,-110.946141,32.254891,-87.895427,41.827126
"New York, NY","San Diego, CA",4,Blue,55,Female,1,2008,24,9,Business travel,0,0,45,Eco Plus,15,2/15/14,DL,Sigma Airlines Inc.,California,New York,6,0,24,No,292,2446,yes,-117.128799,32.928728,-73.970221,40.718357
"Atlanta, GA","Mobile, AL",4,Blue,29,Female,1,2005,12,34,Business travel,1,0,30,Eco,16,2/16/14,EV,FlyFast Airways Inc.,Alabama,Georgia,13,14,14,No,50,302,yes,-88.163457,30.667396,-84.331858,33.824102
"Little Rock, AR","Houston, TX",2,Blue,28,Female,1,2009,10,26,Business travel,3,82,40,Eco,27,1/27/14,EV,FlyFast Airways Inc.,Texas,Arkansas,20,NA,NA,Yes,NA,374,no,-95.393531,29.784308,-92.321221,34.756564
"Cleveland, OH","Houston, TX",3,Blue,17,Male,1,2008,26,3,Business travel,2,0,10,Eco,24,2/24/14,OO,Northwest Business Airlines Inc.,Texas,Ohio,14,21,25,No,133,1091,yes,-95.393531,29.784308,-81.605443,41.443638
"Las Vegas, NV","Seattle, WA",3,Blue,37,Female,1,2007,37,9,Business travel,1,125,0,Eco Plus,14,3/14/14,WN,Cheapseats Airlines Inc.,Washington,Nevada,5,0,0,No,110,867,no,-122.274661,47.468409,-115.167218,36.134893
"Chicago, IL","Miami, FL",2,Blue,42,Female,1,2008,11,6,Business travel,1,0,30,Eco,5,2/5/14,AA,Paul Smith Airlines Inc.,Florida,Illinois,20,30,21,No,165,1197,yes,-80.231428,26.175616,-87.895427,41.827126
"Atlanta, GA","Philadelphia, PA",4,Gold,31,Female,1,2012,14,27,Business travel,2,50,50,Eco,16,3/16/14,DL,Sigma Airlines Inc.,Pennsylvania,Georgia,19,0,0,No,113,666,no,-75.298163,39.973331,-84.331858,33.824102
"Chicago, IL","Minneapolis, MN",4,Blue,43,Male,1,2005,10,23,Business travel,2,0,75,Eco,13,2/13/14,OU,Oursin Airlines Inc.,Minnesota,Illinois,9,5,0,No,55,334,no,-93.2798,44.978156,-87.895427,41.827126
"Chicago, IL","Minneapolis, MN",4,Blue,48,Male,2,2010,21,9,Business travel,2,10,50,Eco,2,1/2/14,WN,Cheapseats Airlines Inc.,Minnesota,Illinois,17,236,374,No,59,349,yes,-93.2798,44.978156,-87.895427,41.827126
"Salt Lake City, UT","Orlando, FL",5,Blue,57,Male,1,2009,32,2,Business travel,0,45,10,Eco,4,1/4/14,DL,Sigma Airlines Inc.,Florida,Utah,6,19,12,No,270,1931,yes,-81.411184,28.584434,-111.929515,40.640838
"New Orleans, LA","New York, NY",4,Blue,73,Female,1,2011,24,6,Mileage tickets,0,0,40,Eco,9,2/9/14,DL,Sigma Airlines Inc.,New York,Louisiana,8,0,0,No,176,1183,no,-73.970221,40.718357,-90.143683,29.954653
"Chicago, IL","San Francisco, CA",4,Silver,36,Male,1,2009,13,12,Business travel,2,0,60,Eco,3,3/3/14,AA,Paul Smith Airlines Inc.,California,Illinois,18,0,0,No,211,1846,no,-122.383287,37.754645,-87.895427,41.827126
"Denver, CO","Los Angeles, CA",3,Blue,85,Female,2,2008,21,8,Personal Travel,0,75,15,Eco Plus,22,3/22/14,MQ,EnjoyFlying Air Services,California,Colorado,8,0,0,No,109,862,no,-118.104332,33.982668,-104.955096,39.710774
"Los Angeles, CA","Wichita, KS",3,Blue,51,Male,1,2008,18,7,Business travel,1,0,60,Business,7,2/7/14,OO,Northwest Business Airlines Inc.,Kansas,California,6,0,6,No,170,1203,yes,-97.327333,37.679735,-118.104332,33.982668
"St. Louis, MO","Salt Lake City, UT",4,Blue,69,Female,1,2006,24,10,Business travel,0,0,140,Eco,22,2/22/14,DL,Sigma Airlines Inc.,Utah,Missouri,20,0,0,No,129,1156,no,-111.929515,40.640838,-90.340926,38.630705
"St. Louis, MO","Dallas, TX",4,Blue,22,Female,2,2003,34,10,Business travel,0,0,15,Eco,11,2/11/14,WN,Cheapseats Airlines Inc.,Texas,Missouri,7,0,0,No,74,546,no,-96.972001,32.812727,-90.340926,38.630705
"Minneapolis, MN","Spokane, WA",4,Blue,32,Male,2,2003,13,22,Business travel,2,0,120,Eco,13,2/13/14,DL,Sigma Airlines Inc.,Washington,Minnesota,6,0,0,No,132,1175,no,-117.352257,47.68043,-93.2798,44.978156
"Fayetteville, AR","Chicago, IL",2,Blue,48,Female,1,2006,60,9,Personal Travel,0,0,40,Eco,4,3/4/14,EV,FlyFast Airways Inc.,Illinois,Arkansas,8,16,18,No,88,522,yes,-87.895427,41.827126,-94.179749,36.267419
"Chicago, IL","Detroit, MI",2,Blue,66,Male,1,2012,38,1,Personal Travel,0,45,85,Eco,11,2/11/14,MQ,EnjoyFlying Air Services,Michigan,Illinois,16,0,0,No,46,235,no,-83.227554,42.490005,-87.895427,41.827126
"Asheville, NC","Atlanta, GA",4,Silver,27,Female,1,2010,6,27,Mileage tickets,1,30,60,Eco,29,1/29/14,EV,FlyFast Airways Inc.,Georgia,North Carolina,12,NA,NA,Yes,NA,164,no,-84.331858,33.824102,-82.664713,35.536615
"Houston, TX","Laredo, TX",2,Blue,61,Male,2,2009,53,9,Personal Travel,1,0,65,Eco,25,2/25/14,EV,FlyFast Airways Inc.,Texas,Texas,16,0,0,No,54,301,no,-99.477843,27.535328,-95.393531,29.784308
"Houston, TX","Tulsa, OK",2,Blue,50,Male,1,2003,35,3,Personal Travel,0,10,45,Eco,7,3/7/14,EV,FlyFast Airways Inc.,Oklahoma,Texas,9,0,0,No,71,429,no,-95.901334,36.105449,-95.393531,29.784308
"Houston, TX","Chicago, IL",5,Blue,33,Female,1,2007,9,6,Business travel,2,0,10,Eco,12,1/12/14,OU,Oursin Airlines Inc.,Illinois,Texas,12,4,8,No,144,925,yes,-87.895427,41.827126,-95.393531,29.784308
"San Francisco, CA","Houston, TX",3,Blue,18,Female,1,2004,8,3,Business travel,0,7,70,Eco,26,3/26/14,OU,Oursin Airlines Inc.,Texas,California,15,0,30,No,254,1635,yes,-95.393531,29.784308,-122.383287,37.754645
"Charlotte, NC","Detroit, MI",3,Silver,40,Female,1,2007,31,32,Business travel,1,15,15,Eco,28,1/28/14,US,Southeast Airlines Co.,Michigan,North Carolina,15,0,3,No,96,500,no,-83.227554,42.490005,-80.815826,35.249654
"Detroit, MI","Chicago, IL",4,Blue,37,Female,1,2007,13,10,Business travel,1,5,10,Business,21,3/21/14,WN,Cheapseats Airlines Inc.,Illinois,Michigan,11,0,0,No,40,228,no,-87.895427,41.827126,-83.227554,42.490005
"Philadelphia, PA","Orlando, FL",3,Blue,65,Male,1,2010,27,8,Personal Travel,0,0,90,Eco,31,3/31/14,WN,Cheapseats Airlines Inc.,Florida,Pennsylvania,11,0,1,No,135,861,no,-81.411184,28.584434,-75.298163,39.973331
"Chicago, IL","Baltimore, MD",4,Blue,44,Male,1,2006,29,1,Business travel,2,0,95,Eco,2,3/2/14,WN,Cheapseats Airlines Inc.,Maryland,Illinois,9,7,6,No,111,611,yes,-76.64776,39.234099,-87.895427,41.827126
"St. Louis, MO","San Antonio, TX",2,Blue,80,Male,1,2010,26,8,Personal Travel,0,40,20,Eco,13,1/13/14,WN,Cheapseats Airlines Inc.,Texas,Missouri,15,0,0,No,103,786,no,-98.475376,29.514399,-90.340926,38.630705
"Albuquerque, NM","Baltimore, MD",4,Silver,43,Male,1,2009,30,7,Business travel,2,2,30,Eco,10,1/10/14,WN,Cheapseats Airlines Inc.,Maryland,New Mexico,10,7,7,No,253,1670,yes,-76.64776,39.234099,-106.628138,35.143367
"Detroit, MI","South Bend, IN",4,Blue,22,Female,1,2007,0,23,Mileage tickets,1,0,90,Eco Plus,15,1/15/14,OO,Northwest Business Airlines Inc.,Indiana,Michigan,10,0,0,No,40,157,no,-86.201743,41.714357,-83.227554,42.490005
"Minneapolis, MN","Pittsburgh, PA",4,Blue,31,Male,2,2009,13,8,Business travel,2,0,120,Eco,25,2/25/14,DL,Sigma Airlines Inc.,Pennsylvania,Minnesota,6,0,0,No,113,726,no,-79.951005,40.456961,-93.2798,44.978156
"New York, NY","Tampa, FL",2,Blue,39,Female,1,2004,11,17,Business travel,2,0,125,Eco,2,2/2/14,DL,Sigma Airlines Inc.,Florida,New York,8,0,0,No,126,1010,no,-82.513188,28.006247,-73.970221,40.718357
"Phoenix, AZ","Austin, TX",2,Gold,51,Female,1,2007,17,3,Personal Travel,2,190,10,Eco,23,2/23/14,WN,Cheapseats Airlines Inc.,Texas,Arizona,6,0,0,No,131,872,no,-97.761533,30.358514,-111.970041,33.494067
"Chicago, IL","Orlando, FL",5,Silver,54,Male,1,2011,14,10,Business travel,1,25,5,Eco,30,3/30/14,OU,Oursin Airlines Inc.,Florida,Illinois,11,14,14,No,156,1005,yes,-81.411184,28.584434,-87.895427,41.827126
"Tallahassee, FL","Atlanta, GA",2,Blue,39,Male,2,2009,46,3,Personal Travel,0,0,30,Eco,22,2/22/14,EV,FlyFast Airways Inc.,Georgia,Florida,13,0,0,No,38,223,no,-84.331858,33.824102,-84.268852999999993,30.473181
"Sacramento, CA","Kahului, HI",2,Blue,44,Female,0,2011,0,7,Personal Travel,5,45,0,Eco,17,2/17/14,AS,FlyToSun Airlines Inc.,Hawaii,California,12,7,0,No,257,2404,no,-156.477892,20.886428,-121.324669,38.638578
"Lincoln, NE","Chicago, IL",3,Blue,58,Female,1,2012,22,2,Business travel,0,0,20,Eco,21,3/21/14,EV,FlyFast Airways Inc.,Illinois,Nebraska,12,0,3,No,81,466,no,-87.895427,41.827126,-96.680368,40.807124
"San Francisco, CA","Sacramento, CA",4,Silver,42,Female,1,2010,13,7,Mileage tickets,2,0,90,Eco,22,1/22/14,OO,Northwest Business Airlines Inc.,California,California,17,0,0,No,28,86,no,-121.324669,38.638578,-122.383287,37.754645
"Las Vegas, NV","Phoenix, AZ",4,Blue,32,Female,1,2011,12,8,Personal Travel,2,3,60,Eco,13,2/13/14,WN,Cheapseats Airlines Inc.,Arizona,Nevada,18,10,2,No,45,255,no,-111.970041,33.494067,-115.167218,36.134893
"Sioux Falls, SD","Chicago, IL",4,Blue,18,Male,1,2012,14,4,Mileage tickets,1,0,10,Eco,8,2/8/14,MQ,EnjoyFlying Air Services,Illinois,South Dakota,8,0,0,No,73,462,no,-87.895427,41.827126,-96.735632,43.533494
"Las Vegas, NV","Denver, CO",4,Silver,30,Male,1,2004,0,7,Mileage tickets,0,0,60,Eco,8,2/8/14,OU,Oursin Airlines Inc.,Colorado,Nevada,11,0,0,No,96,628,no,-104.955096,39.710774,-115.167218,36.134893
"Washington, DC","New York, NY",4,Blue,58,Female,1,2005,32,1,Mileage tickets,0,2,60,Eco,29,1/29/14,B6,OnlyJets Airlines Inc.,New York,Virginia,17,0,0,No,47,228,no,-73.970221,40.718357,-77.18974,38.897394
"Chicago, IL","Eau Claire, WI",5,Blue,33,Male,2,2012,12,5,Business travel,0,0,75,Eco,12,2/12/14,OO,Northwest Business Airlines Inc.,Wisconsin,Illinois,6,0,9,No,48,268,yes,-91.44719,44.860862,-87.895427,41.827126
"San Francisco, CA","Las Vegas, NV",2,Blue,71,Male,1,2012,45,2,Personal Travel,0,45,30,Eco,18,1/18/14,WN,Cheapseats Airlines Inc.,Nevada,California,10,3,0,No,65,414,no,-115.167218,36.134893,-122.383287,37.754645
"Phoenix, AZ","Los Angeles, CA",4,Blue,53,Female,2,2010,7,2,Business travel,0,0,150,Eco Plus,7,3/7/14,OO,Northwest Business Airlines Inc.,California,Arizona,13,0,0,No,59,370,no,-118.104332,33.982668,-111.970041,33.494067
"San Francisco, CA","Medford, OR",3,Silver,45,Female,1,2003,13,4,Business travel,1,165,65,Eco,11,2/11/14,OO,Northwest Business Airlines Inc.,Oregon,California,18,86,63,No,72,329,yes,-122.844238,42.336442,-122.383287,37.754645
"Washington, DC","Chicago, IL",3,Blue,26,Male,2,2004,0,4,Business travel,2,0,120,Eco,22,1/22/14,OU,Oursin Airlines Inc.,Illinois,Virginia,18,26,16,No,75,589,yes,-87.895427,41.827126,-77.18974,38.897394
"Chicago, IL","Charlotte, NC",3,Silver,58,Female,1,2007,8,1,Business travel,0,80,0,Eco,25,3/25/14,EV,FlyFast Airways Inc.,North Carolina,Illinois,7,4,16,No,96,599,yes,-80.815826,35.249654,-87.895427,41.827126
"San Francisco, CA","Las Vegas, NV",4,Blue,49,Female,1,2010,12,1,Business travel,1,30,30,Eco,1,1/1/14,VX,Cool&Young Airlines Inc.,Nevada,California,20,1,0,No,61,414,no,-115.167218,36.134893,-122.383287,37.754645
"Yuma, AZ","Los Angeles, CA",4,Blue,47,Male,1,2007,17,10,Mileage tickets,1,0,80,Eco,13,1/13/14,OO,Northwest Business Airlines Inc.,California,Arizona,12,0,0,No,62,237,no,-118.104332,33.982668,-114.56828,32.677243
"Houston, TX","Atlanta, GA",4,Blue,56,Male,1,2006,11,1,Business travel,0,0,50,Eco,30,3/30/14,DL,Sigma Airlines Inc.,Georgia,Texas,19,0,0,No,99,689,no,-84.331858,33.824102,-95.393531,29.784308
"Los Angeles, CA","Seattle, WA",3,Blue,16,Female,2,2011,24,1,Business travel,2,30,90,Eco,29,3/29/14,AS,FlyToSun Airlines Inc.,Washington,California,16,3,12,No,145,954,yes,-122.274661,47.468409,-118.104332,33.982668
"Phoenix, AZ","San Jose, CA",4,Blue,45,Female,1,2006,13,8,Business travel,2,10,84,Eco Plus,23,3/23/14,WN,Cheapseats Airlines Inc.,California,Arizona,11,0,2,No,91,621,no,-121.945145,37.329845,-111.970041,33.494067
"Miami, FL","New Orleans, LA",2,Blue,60,Male,2,2005,15,8,Personal Travel,0,0,255,Eco Plus,18,2/18/14,AA,Paul Smith Airlines Inc.,Louisiana,Florida,12,0,7,No,85,675,yes,-90.143683,29.954653,-80.231428,26.175616
